Bhoiguda,17.42780495,78.5019989
Bhola Shankar Maktha,17.42974663,78.45992279
Bholakpur(Boiguda),17.42439842,78.49934387
Bhongir,17.51482391,78.88513947
Bhudevi Nagar,17.49143982,78.50305176
Bhupesh Guptha Colony,17.3325901,78.53556061
Bibi Cancer Hospital,17.37028313,78.50061798
Bibinagar,17.47070122,78.79454803
Bible House,17.430336,78.49233246
Birla Mandir,17.40580177,78.467453
Bismillah colony,17.3092823,78.48838043
BITS Pilani,17.54484177,78.57168579
Blue Moon(Panjagutta),17.424248,78.454063
BN Reddy Nagar,17.32088852,78.56110382
Boats Club(RP Road),17.42552948,78.48634338
Boduppal Kaman,17.40119362,78.58174133
Boduppal,17.4154892,78.57176208
Bogaram,17.50550652,78.68606567
Bolarum Bus Station,17.53331757,78.51255035
Bommidala,17.53964996,78.49198151
Bonthapally,17.66258812,78.37307739
Borabanda,17.4541111,78.41580963
Botiguda,17.22885704,78.26050568
Boudha Nagar(Arts College),17.41748047,78.51941681
Bowrampet,17.56162453,78.4055481
Brahmanpally,17.26736069,78.61646271
Brindavan Colony(HS Darga),17.41234398,78.39562225
Budvel,17.33912277,78.40981293
Building Blocks,17.38303947,78.48802948
Bulkapur,17.44016075,78.15978241
Bushrath Nagar,17.3433094,78.45672607
Canaranagar,17.40730858,78.59555817
Capgemini,17.421046,78.337698
CBS,17.37837791,78.48180389
CCMB,17.42124748,78.54007721
Center Point,17.46430206,78.48404694
Chaderghat,17.38143539,78.49297333
Chaitanyapuri,17.36850357,78.5327301
Chakripuram Colony,17.47891617,78.58691406
Champapet,17.35201645,78.50759888
Chanchalguda,17.3641758,78.50180817
Chanda Nagar,17.49515915,78.3227005
Chandkhanguda,17.1334095,78.73014832
Chandragiri Nagar,17.5168705,78.43734741
Chandrayanagutta,17.30409813,78.45814514
Chandulal Baradari,17.35152054,78.46027374
Char Kaman,17.36382675,78.47164154
Charminar,17.35913277,78.47386169
Chatrinaka Police Station,17.33987045,78.48008728
Chatta Bazaar,17.3694191,78.47675323
Cheededu,17.070261,78.71533203
Chengi Cherla,17.41921997,78.61006927
Cherlapally Central Jail,17.46971893,78.58824921
Cherlapally,17.46311569,78.61159515
Chikatimamidi,17.58078575,78.77796173
Chikkadpally,17.39849663,78.49375916
Chilakalguda(Gandhi Statue),17.42983627,78.51365662
Chilkanagar,17.42120934,78.56413269
Chilkur Balaji Temple,17.34912872,78.28725433
Chinakanjarla,17.59943962,78.24019623
Chinaravulapally,17.4228924,78.8253058
Chinna Cherlapally,17.47092056,78.60123444
Chinnamangalaram,17.38963127,78.22602081
Chinnathokata,17.46024513,78.47550201
Chintal Basthi,17.40899277,78.46019745
Chintal Bus station,17.49580765,78.45227051
Chintalakunta,17.34085083,78.56233215
Chintalmet,17.34593964,78.42687225
Chintapatla,17.0173111,78.71614075
Chintulla,17.10174561,78.62897491
Chippalapally,18.2815284,78.6534403
Chiriyala,17.51624298,78.62722778
Chittapur,17.17068291,78.74204254
Chotuppal,17.25443268,78.89452362
Chudi bazaar,17.37360382,78.46453857
Church Colony,17.38659096,78.55046844
Church(Ramanthapur),17.40110207,78.54355621
City College,17.37058067,78.47768402
City Criminal Court,17.394182,78.465815
Clock Tower,17.44063759,78.49717712
Continental Hospital,17.417511,78.339531
CRPF,17.5336895,78.56248474
Cyber Towers,17.4471817,78.37783813
Dabbadaguda,17.04743004,78.4931488
Dabeerpura,17.36696053,78.48947144
Dabilpur,17.67477417,78.47115326
Dacharam,17.67309761,78.40982819
Dairy Farm(Rajendra Nagar),17.34560966,78.41561127
Dammaiguda(lake),17.50119591,78.59728241
Danama Jhopdi,17.33696175,78.44978333
Dandumailaram,17.23703,78.7804149
Darulshifa,17.37279701,78.48288727
Darus Salam,17.38336754,78.46347046
Dasrlapally,17.01070404,78.4803009
Datpally,17.05489731,78.72388458
Dayanand Nagar,17.37146378,78.50289917
Dayara,17.48479652,78.72790527
DBR Mills,17.419974,78.48585
Deepthisree,17.49533463,78.34063721
Defence Colony,17.48654556,78.53556061
Deshmukhi,17.33294106,78.73062134
Devarayamzal,17.571695,78.52898
Dharmaram,18.7337076,79.1916396
Dhoolpet,17.37333298,78.45968628
Diamond Point,17.46230316,78.49095154
Dilsukhnagar Bus station,17.36896706,78.52506256
Domalguda,17.41090775,78.48016357
Doodh Bowli,17.35639572,78.46276093
Doulatabad,17.70960808,78.21124268
Dubai Gate,17.47211266,78.48466492
Dundigal Airbase,17.60519409,78.41295624
Dundigal X road,17.59713554,78.41683197
Durga Estate,17.50052834,78.46880341
East Anand Bagh,17.45775795,78.54389954
East Marredpally,17.44544601,78.51071167
Easwaripuri,17.49864769,78.54137421
EC Nagar,17.45921135,78.59883118
ECIL,17.47242928,78.56983185
Edulabad Lake,17.41813087,78.71113586
Electric Junction,17.40142822,78.56052399
EME Centre,17.49658394,78.52139282
Engine bowli,17.33978271,78.46831512
Enkiryal,17.41280937,78.76231384
Erragadda,17.45631027,78.43451691
Erramanzil,17.42037392,78.45593262
ESI,17.44795799,78.4381485
Falaknuma Railway Station,17.33125496,78.46954346
Falaknuma,17.33707237,78.46710968
Family Qtrs,17.48989868,78.51251984
Farooq Nagar,17.06871,78.2003191
